segment,token,symbol,tradingsymbol,instrument_type,expiry,ticksize,lotsize,optiontype,strike,priceprec,multiplier,isin,pricemult,company
NSE,8311,BLUESTARCO,BLUESTARCO-EQ,EQ,1011980,10,1,EQ,0,2,1,INE472A01039,1.0,BLUE STAR LIMITED
NSE,11373,BIOCON,BIOCON-EQ,EQ,1011980,5,1,EQ,0,2,1,INE376G01013,1.0,BIOCON LIMITED.
NSE,438,BHEL,BHEL-EQ,EQ,1011980,5,1,EQ,0,2,1,INE257A01026,1.0,BHEL
NSE,10604,BHARTIARTL,BHARTIARTL-EQ,EQ,1011980,10,1,EQ,0,2,1,INE397D01024,1.0,BHARTI AIRTEL LIMITED
NSE,422,BHARATFORG,BHARATFORG-EQ,EQ,1011980,10,1,EQ,0,2,1,INE465A01025,1.0,BHARAT FORGE LTD
NSE,383,BEL,BEL-EQ,EQ,1011980,5,1,EQ,0,2,1,INE263A01024,1.0,BHARAT ELECTRONICS LTD
NSE,2144,BDL,BDL-EQ,EQ,1011980,10,1,EQ,0,2,1,INE171Z01026,1.0,BHARAT DYNAMICS LIMITED
NSE,4745,BANKINDIA,BANKINDIA-EQ,EQ,1011980,1,1,EQ,0,2,1,INE084A01016,1.0,BANK OF INDIA
NSE,4668,BANKBARODA,BANKBARODA-EQ,EQ,1011980,5,1,EQ,0,2,1,INE028A01039,1.0,BANK OF BARODA
NSE,317,BAJFINANCE,BAJFINANCE-EQ,EQ,1011980,5,1,EQ,0,2,1,INE296A01032,1.0,BAJAJ FINANCE LIMITED
NSE,305,BAJAJHLDNG,BAJAJHLDNG-EQ,EQ,1011980,100,1,EQ,0,2,1,INE118A01012,1.0,BAJAJ HOLDINGS & INVS LTD
NSE,16675,BAJAJFINSV,BAJAJFINSV-EQ,EQ,1011980,10,1,EQ,0,2,1,INE918I01026,1.0,BAJAJ FINSERV LTD.
